2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:06:37 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:12:01 | ERROR    | src.utils.link_parser:_extract_from_short_url:80 | 处理短链接时出错: No connection adapters were found for '[https://v.douyin.com/3PjLGvBYLUw/](https://v.douyin.com/3PjLGvBYLUw/)'
2025-09-03 04:12:01 | ERROR    | src.api.kook_api:send_error_message:297 | 发送错误消息失败: type object 'Element' has no attribute 'Types'
2025-09-03 04:12:09 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:12:17 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:12:17 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:13:27 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:13:27 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:13:27 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:13:27 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:13:27 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
2025-09-03 04:13:27 | ERROR    | src.bot.main:shutdown:555 | 关闭机器人时出错: 'Bot' object has no attribute 'close'
